CDRMASK,BILLING_CODE,BLIND,CITIZEN_NUMBER,CUSTOMER_NUMBER,CUSTOMER_SOURCE_CREATION_DATE,CUSTOMER_SOURCE_ID_FROM_SOURCE,DESCRIPTION,ERP_ADDRESS_ID,ERP_CUSTOMER_ID,EXEMPT_FROM_STAMP_TAX,EXEMPT_FROM_STAMP_TAX_END,EXEMPT_FROM_STAMP_TAX_STRT,FIRST_NAME,GIB_STATUS,INCLUDED_FORTTSPINTEGRATION,LANGUAGE,LAST_NAME,LOCKED,LOSS_DATE,MAXIMO_CODE,MERNIS_STATUS,NATIONALITY,OIV_EXEMPT,OIV_EXEMPTION_END,OIV_EXEMPTION_START,OVERDUE_INTEREST_EXEMPTION,OVERDUE_INTEREST_EXEMP_END,OVERDUE_INTEREST_EXEMP_STRT,RISK_STATUS,START_DATE,TURKCELL_CUSTOMER_NUMBER,VAT_EXEMPT,VAT_EXEMPTION_END,VAT_EXEMPTION_START,ID,CUSTOMER_DETAIL,CUSTOMER_SEGMENT,CUSTOMER_SUB_SEGMENT,DEFAULT_BILL_ACCOUNT,FINANCIAL_SEGMENT_ID,MIG_STATUS,MIG_DATE,ONEDESK_CODE,EAM_SEQUENCE_ID,SHOW_ERP,BILLING_LANGUAGE,HANDICAPPED,GENERAL_DECLARATION,PRIMARY_RESPONSIBLE_POSITIONID,SILENT
,50480955,NO,49468982269,23658895,,,,,,,,,AYBÜKE,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,AY,NO,,,CONFIRMED,,,,,,,,,,,,,,5EB85455-3321-4B1B-BC1D-1B1DA0A4F615,2FCCAD34-1F11-4180-A6C6-CAB271DD0D80,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,98E1F2A8-62A6-4C9C-B645-24845A3BB910,,,,,,,TURKISH,,NO,,
,,UNDEFINED,49204708130,23658911,,,,,,,,,MINJNJ,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,ÇQFİW,NO,,,CONFIRMED,,,,,,,,,,,,,,1A102A24-B227-47F9-997C-FF71DBC257BD,D15983C2-5195-4DB5-B5A4-0461E64E6F84,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,B6A74994-3B8D-4138-B431-3F3BE0134E72,,,,,,,,,NO,,
,,NO,49204708130,23658854,,,,,,,,,IFNİC,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,QÖDÇD,NO,,,CONFIRMED,,,,,,,,,,,,,,A03530C9-5BDB-4F9A-94A4-F3C9C8187420,9508642B-B936-473D-8F1A-461C2E85BFDF,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,,,,,,,,,,NO,,
,,YES,49204708139,23658890,,,,,,,,,AYZC,CONFIRMED,,,WYVHSY,NO,,,CONFIRMED,,,,,,,,,,491595345,,,,CA77191D-BB34-4C94-A291-DD4C6C267099,CE6AA675-CEAC-4E32-8313-69FAF624E076,011BE316-0EEE-4E7B-B3BD-97B6E8D1DD8D,,,,,,,,,,,,,
,,NO,49468982269,23658801,,,,,,,,,LGHCA,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,EXVUI,NO,,,CONFIRMED,,,,,,,,,,,,,,3BC77C18-F8C5-46A6-A3A2-E9B2B0115C6E,E420609D-BDD1-4A90-A05E-26568149F279,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,,,,,,,,,,NO,,
,,NO,,23658800,,,,,,,,,,CONFIRMED,,,,NO,,,,,,,,,,,,,242280895,,,,83C06DE2-1AFF-4532-A7D9-21084CD107FE,E11DDEDC-39C5-49EE-AE9A-D6B51216AE92,96790D0C-CEF4-49FD-9E2C-AA0B1104E1D2,,,,,,,,,TURKISH,,,,
,,NO,,23658807,,,,,,,,,,CONFIRMED,,,,NO,,,,,,,,,,,,,242280895,,,,9DF1549E-7FC4-40C1-89ED-58543105ACAA,8ADAFBDA-CD27-443A-9B6F-88F565C7C0F5,96790D0C-CEF4-49FD-9E2C-AA0B1104E1D2,,,,,,,,,TURKISH,,NO,,
,,NO,44579377042,23658920,,,,,,,,,CXD,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,GİXİO,NO,,,CONFIRMED,,,,,,,,,,,,,,A82E1C15-4332-43BC-B3E2-8FEB220CBF7F,786CF872-398D-4D4B-8540-7C733B62F97D,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,,,,,,,,,,NO,,
,,NO,44579377041,23658928,,,,,,,,,CXD,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,GİXİO,NO,,,CONFIRMED,,,,,,,,,,,,,,EB33FD4B-8C8B-4938-87F4-D95EB1CA478C,1FDBEBC5-54BA-4FD1-9928-9EDA7DECE265,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,,,,,,,,,,NO,,
,50480015,NO,65840843134,23658915,,,,,,,,,EMHZİ,,,4345B931-9F8F-4F73-9A8F-54F7088018B8,SKZJ,NO,,,CONFIRMED,,,,,,,,,,,,,,E6C8B1DF-AFA0-477F-AE12-BC0BE9B43FC3,F5A9B6B7-139A-43B2-9294-C2DE1921CAB9,84FBD0B9-5D1A-4A1B-8B34-E1851A111DFD,,14F5EDB1-4357-4C57-BF36-B5767D043067,,,,,,,TURKISH,,NO,,
